"nome";"mortalidade";"bcg";"hepb";"hib3";"ipv1";"mcv1";"pcv3";"pol3";"rcv1";"rotac";"yfv";"dtp3"
"Tajikistan";"83.4";"0.98";NULL;NULL;NULL;"0.88";NULL;"0.86";NULL;NULL;NULL;"0.83"
"Sao Tome and Principe";"82";"0.81";NULL;NULL;NULL;"0.69";NULL;"0.87";NULL;NULL;NULL;"0.82"
"Nepal";"78.9";"0.84";NULL;NULL;NULL;"0.71";NULL;"0.74";NULL;NULL;NULL;"0.74"
"Bhutan";"78.7";"0.97";"0.98";NULL;NULL;"0.78";NULL;"0.98";NULL;NULL;NULL;"0.92"
"Botswana";"77.8";"0.99";"0.86";NULL;NULL;"0.91";NULL;"0.97";NULL;NULL;NULL;"0.97"
"Namibia";"77.6";"0.77";NULL;NULL;NULL;"0.69";NULL;"0.8";NULL;NULL;NULL;"0.79"
"Bolivia";"75.7";"0.92";"0.77";"0.77";NULL;"0.84";NULL;"0.74";"0.84";NULL;NULL;"0.75"
"Azerbaijan";"74.5";"0.81";NULL;NULL;NULL;"0.67";NULL;"0.75";NULL;NULL;NULL;"0.76"
"Papua New Guinea";"71.6";"0.88";"0.57";NULL;NULL;"0.69";NULL;"0.51";NULL;NULL;NULL;"0.59"
"South Africa";"71";"0.89";"0.73";"0.73";NULL;"0.72";NULL;"0.71";NULL;NULL;NULL;"0.73"
"Turkmenistan";"69.2";"0.99";NULL;NULL;NULL;"0.96";NULL;"0.98";NULL;NULL;NULL;"0.97"
"Kiribati";"66.4";"0.8";"0.9";NULL;NULL;"0.8";NULL;"0.9";NULL;NULL;NULL;"0.9"
"Mongolia";"63.1";"0.97";"0.93";NULL;NULL;"0.92";NULL;"0.94";NULL;NULL;NULL;"0.94"
"Uzbekistan";"61.5";"0.98";NULL;NULL;NULL;"0.99";NULL;"0.99";NULL;NULL;NULL;"0.99"
"Morocco";"52.4";"0.97";"0.43";NULL;NULL;"0.93";NULL;"0.95";NULL;NULL;NULL;"0.95"
"Guatemala";"52.2";"0.95";NULL;NULL;NULL;"0.86";NULL;"0.8";NULL;NULL;NULL;"0.81"
"Indonesia";"52";"0.81";"0.65";NULL;NULL;"0.76";NULL;"0.72";NULL;NULL;NULL;"0.75"
"Kyrgyz Republic";"49.2";"0.96";"0.44";NULL;NULL;"0.98";NULL;"0.99";NULL;NULL;NULL;"0.99"
"Egypt. Arab Rep.";"46.7";"0.98";"0.98";NULL;NULL;"0.98";NULL;"0.98";"0.97";NULL;NULL;"0.98"
"Guyana";"46.6";"0.93";NULL;NULL;NULL;"0.86";NULL;"0.79";"0.86";NULL;"0.83";"0.88"
"Iraq";"44.4";"0.93";"0.67";NULL;NULL;"0.86";NULL;"0.83";NULL;NULL;NULL;"0.8"
"Nauru";"42.6";"0.93";"0.58";NULL;NULL;"0.08";NULL;"0.27";NULL;NULL;NULL;"0.44"
"Tuvalu";"42.5";"0.99";"0.81";NULL;NULL;"0.81";NULL;"0.82";NULL;NULL;NULL;"0.82"
"Kazakhstan";"42.4";"0.98";"0.99";NULL;NULL;"0.99";NULL;"0.96";NULL;NULL;NULL;"0.97"
"Marshall Islands";"42.3";"0.89";"0.38";"0.45";NULL;"0.94";NULL;"0.36";"0.94";NULL;NULL;"0.39"
"Algeria";"41.7";"0.97";NULL;NULL;NULL;"0.8";NULL;"0.86";NULL;NULL;NULL;"0.86"
"Dominican Republic";"39.8";"0.9";"0.68";NULL;NULL;"0.85";NULL;"0.71";NULL;NULL;NULL;"0.78"
"Maldives";"39.1";"0.99";"0.96";NULL;NULL;"0.99";NULL;"0.98";NULL;NULL;NULL;"0.98"
"Micronesia. Fed. Sts.";"38.8";"0.24";"0.87";"0.75";NULL;"0.85";NULL;"0.85";"0.85";NULL;NULL;"0.85"
"Nicaragua";"38.3";"0.96";"0.83";"0.83";NULL;"0.86";NULL;"0.85";"0.86";NULL;NULL;"0.83"
"Peru";"37.9";"0.93";NULL;"0.43";NULL;"0.97";NULL;"0.93";NULL;NULL;"0.08";"0.98"
"Turkiye";"37.6";"0.96";"0.71";NULL;NULL;"0.87";NULL;"0.85";NULL;NULL;NULL;"0.85"
"Honduras";"37.3";"0.99";"0.93";"0.93";NULL;"0.98";NULL;"0.88";"0.98";NULL;NULL;"0.94"
"Philippines";"36.9";"0.92";"0.07";NULL;NULL;"0.78";NULL;"0.74";NULL;NULL;NULL;"0.78"
"China";"36.7";"0.84";"0.6";NULL;NULL;"0.84";NULL;"0.86";NULL;NULL;NULL;"0.85"
"Georgia";"36.4";"0.95";"0.55";NULL;NULL;"0.73";NULL;"0.81";NULL;NULL;NULL;"0.8"
"Iran. Islamic Rep.";"36.4";"0.99";"0.99";NULL;NULL;"0.99";NULL;"0.99";NULL;NULL;NULL;"0.99"
