"nome";"mortalidade";"bcg";"hepb";"hib3";"ipv1";"mcv1";"pcv3";"pol3";"rcv1";"rotac";"yfv";"dtp3"
"Niger";"332.1";"0.5";NULL;NULL;NULL;"0.25";NULL;"0.22";NULL;NULL;NULL;"0.22"
"Mozambique";"243.7";"0.59";NULL;NULL;NULL;"0.59";NULL;"0.46";NULL;NULL;NULL;"0.46"
"Malawi";"243";"0.97";NULL;NULL;NULL;"0.81";NULL;"0.93";NULL;NULL;NULL;"0.87"
"Guinea";"233";"0.5";NULL;NULL;NULL;"0.35";NULL;"0.18";NULL;NULL;NULL;"0.17"
"Mali";"230.8";"0.82";NULL;NULL;NULL;"0.43";NULL;"0.42";NULL;NULL;NULL;"0.42"
"Angola";"223.6";"0.48";NULL;NULL;NULL;"0.38";NULL;"0.23";NULL;NULL;NULL;"0.24"
"Guinea-Bissau";"222.1";"0.9";NULL;NULL;NULL;"0.53";NULL;"0.6";NULL;NULL;NULL;"0.61"
"Chad";"212.1";"0.59";NULL;NULL;NULL;"0.32";NULL;"0.2";NULL;NULL;NULL;"0.2"
"Nigeria";"209.6";"0.8";NULL;NULL;NULL;"0.54";NULL;"0.55";NULL;NULL;NULL;"0.56"
"Ethiopia";"202.5";"0.64";NULL;NULL;NULL;"0.38";NULL;"0.49";NULL;NULL;NULL;"0.49"
"Burkina Faso";"198";"0.95";NULL;NULL;NULL;"0.79";NULL;"0.66";NULL;NULL;NULL;"0.66"
"Congo. Dem. Rep.";"185.5";"0.65";NULL;NULL;NULL;"0.38";NULL;"0.34";NULL;NULL;NULL;"0.35"
"Zambia";"183";"0.97";NULL;NULL;NULL;"0.9";NULL;"0.9";NULL;NULL;NULL;"0.91"
"Uganda";"182.5";"0.75";NULL;NULL;NULL;"0.52";NULL;"0.45";NULL;NULL;NULL;"0.45"
"Afghanistan";"181.1";"0.3";NULL;NULL;NULL;"0.2";NULL;"0.25";NULL;NULL;NULL;"0.25"
"Somalia";"179.1";"0.31";NULL;NULL;NULL;"0.3";NULL;"0.18";NULL;NULL;NULL;"0.19"
"Equatorial Guinea";"178.2";"0.94";NULL;NULL;NULL;"0.88";NULL;"0.75";NULL;NULL;NULL;"0.77"
"Central African Republic";"176.8";"0.96";NULL;NULL;NULL;"0.82";NULL;"0.82";NULL;NULL;NULL;"0.82"
"Benin";"172.1";"0.92";NULL;NULL;NULL;"0.79";NULL;"0.74";NULL;NULL;NULL;"0.74"
"Burundi";"169.8";"0.97";NULL;NULL;NULL;"0.74";NULL;"0.97";NULL;NULL;NULL;"0.86"
"Tanzania";"167.3";"0.85";NULL;NULL;NULL;"0.8";NULL;"0.78";NULL;NULL;NULL;"0.78"
"Gambia. The";"166.3";"0.98";NULL;NULL;NULL;"0.86";NULL;"0.94";NULL;NULL;NULL;"0.92"
"Madagascar";"155.4";"0.67";NULL;NULL;NULL;"0.47";NULL;"0.46";NULL;NULL;NULL;"0.46"
"Lao PDR";"153.3";"0.26";NULL;NULL;NULL;"0.32";NULL;"0.26";NULL;NULL;NULL;"0.18"
"Cote d'Ivoire";"153.1";"0.62";NULL;NULL;NULL;"0.56";NULL;"0.56";NULL;NULL;NULL;"0.54"
"Rwanda";"152.1";"0.92";NULL;NULL;NULL;"0.83";NULL;"0.83";NULL;NULL;NULL;"0.84"
"Togo";"147.3";"0.99";NULL;NULL;NULL;"0.73";NULL;"0.76";NULL;NULL;NULL;"0.77"
"Bangladesh";"146";"0.86";NULL;NULL;NULL;"0.65";NULL;"0.69";NULL;NULL;NULL;"0.69"
"Haiti";"144.8";"0.72";NULL;NULL;NULL;"0.31";NULL;"0.4";NULL;NULL;NULL;"0.41"
"Pakistan";"139.7";"0.8";NULL;NULL;NULL;"0.5";NULL;"0.54";NULL;NULL;NULL;"0.54"
"Senegal";"138.5";"0.9";NULL;NULL;NULL;"0.51";NULL;"0.53";NULL;NULL;NULL;"0.51"
"Nepal";"138.4";"0.74";NULL;NULL;NULL;"0.57";NULL;"0.42";NULL;NULL;NULL;"0.43"
"Cameroon";"136.7";"0.76";NULL;NULL;NULL;"0.56";NULL;"0.54";NULL;NULL;NULL;"0.48"
"Sudan";"131.7";"0.77";NULL;NULL;NULL;"0.57";NULL;"0.62";NULL;NULL;NULL;"0.62"
"Bhutan";"128.7";"0.99";NULL;NULL;NULL;"0.93";NULL;"0.96";NULL;NULL;NULL;"0.96"
"Ghana";"127.6";"0.71";NULL;NULL;NULL;"0.61";NULL;"0.57";NULL;NULL;NULL;"0.58"
"India";"126.5";"0.66";NULL;NULL;NULL;"0.56";NULL;"0.66";NULL;NULL;NULL;"0.7"
"Comoros";"126.4";"0.99";NULL;NULL;NULL;"0.87";NULL;"0.94";NULL;NULL;NULL;"0.94"
"Yemen. Rep.";"125.4";"0.95";NULL;NULL;NULL;"0.69";NULL;"0.84";NULL;NULL;NULL;"0.84"
"Bolivia";"121.7";"0.65";NULL;NULL;NULL;"0.53";NULL;"0.5";NULL;NULL;NULL;"0.41"
"Djibouti";"117";"0.81";NULL;NULL;NULL;"0.85";NULL;"0.85";NULL;NULL;NULL;"0.85"
"Mauritania";"116.2";"0.79";NULL;NULL;NULL;"0.38";NULL;"0.33";NULL;NULL;NULL;"0.33"
"Cambodia";"116.1";"0.52";NULL;NULL;NULL;"0.34";NULL;"0.38";NULL;NULL;NULL;"0.38"
"Myanmar";"115";"0.95";NULL;NULL;NULL;"0.68";NULL;"0.88";NULL;NULL;NULL;"0.88"
"Sao Tome and Principe";"108.5";"0.99";NULL;NULL;NULL;"0.71";NULL;"0.9";NULL;NULL;NULL;"0.92"
"Mongolia";"106.9";"0.81";NULL;NULL;NULL;"0.92";NULL;"0.87";NULL;NULL;NULL;"0.84"
"Kenya";"100.9";"0.92";NULL;NULL;NULL;"0.78";NULL;"0.84";NULL;NULL;NULL;"0.84"
"Gabon";"92.4";"0.96";NULL;NULL;NULL;"0.76";NULL;"0.78";NULL;NULL;NULL;"0.78"
"Kiribati";"91.1";"0.93";"0.73";NULL;NULL;"0.75";NULL;"0.97";NULL;NULL;NULL;"0.97"
"Congo. Rep.";"91";"0.9";NULL;NULL;NULL;"0.75";NULL;"0.8";NULL;NULL;NULL;"0.79"
"Maldives";"86.2";"0.99";NULL;NULL;NULL;"0.96";NULL;"0.94";NULL;NULL;NULL;"0.94"
"Egypt. Arab Rep.";"85.7";"0.89";NULL;NULL;NULL;"0.86";NULL;"0.87";NULL;NULL;NULL;"0.87"
"Lesotho";"85.1";"0.89";NULL;NULL;NULL;"0.8";NULL;"0.82";NULL;NULL;NULL;"0.82"
"Papua New Guinea";"85";"0.92";"0.2";NULL;NULL;"0.67";NULL;"0.68";NULL;NULL;NULL;"0.68"
"Indonesia";"83.8";"0.74";NULL;NULL;NULL;"0.58";NULL;"0.6";NULL;NULL;NULL;"0.6"
"Morocco";"80.8";"0.96";NULL;NULL;NULL;"0.79";NULL;"0.81";NULL;NULL;NULL;"0.81"
"Guatemala";"80.4";"0.62";NULL;NULL;NULL;"0.68";NULL;"0.74";NULL;NULL;NULL;"0.66"
"Peru";"80.4";"0.83";NULL;NULL;NULL;"0.64";NULL;"0.73";NULL;NULL;NULL;"0.72"
"Zimbabwe";"80.4";"0.91";NULL;NULL;NULL;"0.87";NULL;"0.89";NULL;NULL;NULL;"0.88"
"Turkiye";"74.1";"0.93";NULL;NULL;NULL;"0.78";NULL;"0.84";NULL;NULL;NULL;"0.84"
"Eswatini";"69.1";"0.96";NULL;NULL;NULL;"0.85";NULL;"0.89";NULL;NULL;NULL;"0.89"
"Nauru";"67.1";"0.93";NULL;NULL;NULL;NULL;NULL;"0.74";NULL;NULL;NULL;"0.74"
"Nicaragua";"66.6";"0.84";NULL;NULL;NULL;"0.82";NULL;"0.9";NULL;NULL;NULL;"0.7"
"Brazil";"63";"0.79";NULL;NULL;NULL;"0.78";NULL;"0.58";NULL;NULL;NULL;"0.66"
"South Africa";"62.3";"0.57";NULL;NULL;NULL;"0.79";NULL;"0.76";NULL;NULL;NULL;"0.72"
"Guyana";"60.8";"0.85";NULL;NULL;NULL;"0.73";NULL;"0.79";NULL;NULL;NULL;"0.83"
"El Salvador";"59.7";"0.75";NULL;NULL;NULL;"0.98";NULL;"0.8";NULL;NULL;NULL;"0.8"
"Dominican Republic";"59.4";"0.7";NULL;NULL;NULL;"0.7";NULL;"0.9";NULL;NULL;NULL;"0.69"
"Cabo Verde";"58.7";"0.97";NULL;NULL;NULL;"0.79";NULL;"0.87";NULL;NULL;NULL;"0.88"
"Honduras";"58.2";"0.7";NULL;NULL;NULL;"0.9";NULL;"0.87";NULL;NULL;NULL;"0.84"
"Iran. Islamic Rep.";"57.6";"0.95";NULL;NULL;NULL;"0.85";NULL;"0.9";NULL;NULL;NULL;"0.91"
"Philippines";"56.1";"0.96";NULL;NULL;NULL;"0.85";NULL;"0.88";NULL;NULL;NULL;"0.88"
"Tunisia";"55";"0.96";NULL;NULL;NULL;"0.93";NULL;"0.93";NULL;NULL;NULL;"0.93"
"Ecuador";"53.9";"0.89";NULL;NULL;NULL;"0.6";NULL;"0.67";NULL;NULL;NULL;"0.68"
"China";"53.7";"0.99";NULL;NULL;NULL;"0.98";NULL;"0.98";NULL;NULL;NULL;"0.97"
"Iraq";"53.7";"0.96";NULL;NULL;NULL;"0.75";NULL;"0.83";NULL;NULL;NULL;"0.83"
"Tuvalu";"53.6";"0.96";NULL;NULL;NULL;"0.95";NULL;"0.84";NULL;NULL;NULL;"0.99"
"Viet Nam";"51.6";"0.9";NULL;NULL;NULL;"0.88";NULL;"0.88";NULL;NULL;NULL;"0.88"
"Algeria";"51";"0.99";NULL;NULL;NULL;"0.83";NULL;"0.89";NULL;NULL;NULL;"0.89"
"Micronesia. Fed. Sts.";"49.5";"0.12";"0.56";NULL;NULL;"0.81";NULL;"0.85";"0.81";NULL;NULL;"0.85"
"Botswana";"49.2";"0.93";NULL;NULL;NULL;"0.87";NULL;"0.9";NULL;NULL;NULL;"0.92"
"Marshall Islands";"47.7";"0.49";"0.1";NULL;NULL;"0.52";NULL;"0.89";NULL;NULL;NULL;"0.92"
"Paraguay";"45.5";"0.75";NULL;NULL;NULL;"0.69";NULL;"0.64";NULL;NULL;NULL;"0.67"
"Mexico";"45.2";"0.67";NULL;NULL;NULL;"0.75";NULL;"0.66";NULL;NULL;NULL;"0.53"
"Suriname";"45";NULL;NULL;NULL;NULL;"0.65";NULL;"0.81";NULL;NULL;NULL;"0.83"
"Saudi Arabia";"44.3";"0.9";"0.66";NULL;NULL;"0.88";NULL;"0.92";NULL;NULL;NULL;"0.92"
"Korea. Dem. People's Rep.";"42.3";"0.99";NULL;NULL;NULL;"0.98";NULL;"0.99";NULL;NULL;NULL;"0.98"
"Libya";"41.7";"0.9";NULL;NULL;NULL;"0.89";NULL;"0.84";NULL;NULL;NULL;"0.84"
"Albania";"40.7";"0.94";NULL;NULL;NULL;"0.88";NULL;"0.89";NULL;NULL;NULL;"0.94"
"Belize";"39.2";"0.93";NULL;NULL;NULL;"0.86";NULL;"0.86";NULL;NULL;NULL;"0.91"
"Oman";"39";"0.96";NULL;NULL;NULL;"0.98";NULL;"0.98";NULL;NULL;NULL;"0.98"
"Solomon Islands";"38.1";"0.87";NULL;NULL;NULL;"0.7";NULL;"0.75";NULL;NULL;NULL;"0.77"
"Thailand";"37.1";"0.99";NULL;NULL;NULL;"0.8";NULL;"0.92";NULL;NULL;NULL;"0.92"
"Vanuatu";"36.9";"0.96";NULL;NULL;NULL;"0.66";NULL;"0.78";NULL;NULL;NULL;"0.76"
"Syrian Arab Republic";"36.8";"0.92";NULL;NULL;NULL;"0.87";NULL;"0.91";NULL;NULL;NULL;"0.91"
"Jordan";"36";NULL;NULL;NULL;NULL;"0.87";NULL;"0.92";NULL;NULL;NULL;"0.92"
"Colombia";"35.7";"0.95";NULL;NULL;NULL;"0.82";NULL;"0.93";NULL;NULL;NULL;"0.88"
"Palau";"35.5";NULL;NULL;NULL;NULL;"0.98";NULL;"0.99";NULL;NULL;NULL;"0.99"
"Lebanon";"31.9";NULL;NULL;NULL;NULL;"0.61";NULL;"0.82";NULL;NULL;NULL;"0.82"
"Romania";"31";"0.9";NULL;NULL;NULL;"0.92";NULL;"0.92";NULL;NULL;NULL;"0.96"
"Panama";"30.4";"0.97";NULL;NULL;NULL;"0.73";NULL;"0.86";NULL;NULL;NULL;"0.86"
"St. Kitts and Nevis";"30.4";"0.8";NULL;NULL;NULL;"0.99";NULL;"0.99";"0.99";NULL;NULL;"0.99"
"Trinidad and Tobago";"30.1";NULL;NULL;NULL;NULL;"0.7";NULL;"0.87";"0.7";NULL;NULL;"0.82"
"Samoa";"29.8";"0.97";NULL;NULL;NULL;"0.89";NULL;"0.88";NULL;NULL;NULL;"0.9"
"Venezuela. RB";"29.6";"0.82";NULL;NULL;NULL;"0.61";NULL;"0.72";NULL;NULL;NULL;"0.63"
"Fiji";"29";"0.99";NULL;NULL;NULL;"0.84";NULL;"0.96";NULL;NULL;NULL;"0.97"
"Argentina";"28.8";"0.99";NULL;NULL;NULL;"0.93";NULL;"0.9";NULL;NULL;NULL;"0.87"
"Jamaica";"27.9";"0.98";NULL;NULL;NULL;"0.74";NULL;"0.87";NULL;NULL;NULL;"0.86"
"St. Vincent and the Grenadines";"23.8";"0.99";NULL;NULL;NULL;"0.96";NULL;"0.92";NULL;NULL;NULL;"0.98"
"Uruguay";"23.6";"0.99";NULL;NULL;NULL;"0.97";NULL;"0.97";"0.97";NULL;NULL;"0.97"
"Bahamas. The";"23.5";NULL;NULL;NULL;NULL;"0.86";NULL;"0.82";NULL;NULL;NULL;"0.86"
"Bahrain";"23";NULL;NULL;NULL;NULL;"0.87";NULL;"0.94";"0.87";NULL;NULL;"0.94"
"Mauritius";"23";"0.87";NULL;NULL;NULL;"0.76";NULL;"0.86";NULL;NULL;NULL;"0.85"
"Grenada";"22.4";NULL;NULL;NULL;NULL;"0.85";NULL;"0.69";NULL;NULL;NULL;"0.8"
"Sri Lanka";"22.3";"0.84";NULL;NULL;NULL;"0.8";NULL;"0.86";NULL;NULL;NULL;"0.86"
"Tonga";"22.2";"0.99";"0.94";NULL;NULL;"0.86";NULL;"0.93";NULL;NULL;NULL;"0.94"
"Qatar";"20.8";"0.97";NULL;NULL;NULL;"0.79";NULL;"0.82";NULL;NULL;NULL;"0.82"
"St. Lucia";"20.6";"0.94";NULL;NULL;NULL;"0.82";NULL;"0.9";"0.82";NULL;NULL;"0.89"
"Kuwait";"19.9";NULL;NULL;NULL;NULL;"0.66";NULL;"0.71";NULL;NULL;NULL;"0.71"
"Chile";"19.1";"0.94";NULL;NULL;NULL;"0.97";NULL;"0.95";"0.97";NULL;NULL;"0.95"
"Bulgaria";"18.4";"0.99";NULL;NULL;NULL;"0.99";NULL;"0.99";NULL;NULL;NULL;"0.99"
"Barbados";"18.1";NULL;NULL;NULL;NULL;"0.87";NULL;"0.9";"0.87";NULL;NULL;"0.91"
"Poland";"17.4";"0.97";NULL;NULL;NULL;"0.95";NULL;"0.96";"0.95";NULL;NULL;"0.96"
"Hungary";"17.3";"0.99";NULL;NULL;NULL;"0.99";NULL;"0.99";"0.99";NULL;NULL;"0.99"
"Dominica";"17";"0.99";NULL;NULL;NULL;"0.88";NULL;"0.94";"0.88";NULL;NULL;"0.92"
"Costa Rica";"16.9";"0.92";NULL;NULL;NULL;"0.9";NULL;"0.95";"0.9";NULL;NULL;"0.95"
"Malaysia";"16.6";"0.99";"0.86";NULL;NULL;"0.7";NULL;"0.9";NULL;NULL;NULL;"0.9"
"Seychelles";"16.3";"0.98";NULL;NULL;NULL;"0.86";NULL;"0.99";"0.86";NULL;NULL;"0.99"
"Korea. Rep.";"15.7";"0.72";NULL;NULL;NULL;"0.93";NULL;"0.74";"0.93";NULL;NULL;"0.74"
"United Arab Emirates";"15.2";"0.96";NULL;NULL;NULL;"0.8";NULL;"0.85";"0.8";NULL;NULL;"0.85"
"Portugal";"14.7";"0.88";NULL;NULL;NULL;"0.85";NULL;"0.89";"0.85";NULL;NULL;"0.89"
"Antigua and Barbuda";"13.5";NULL;NULL;NULL;NULL;"0.89";NULL;"0.99";"0.89";NULL;NULL;"0.99"
"Cuba";"13.5";"0.98";NULL;NULL;NULL;"0.94";NULL;"0.94";"0.94";NULL;NULL;"0.92"
"Brunei Darussalam";"13.1";"0.91";"0.96";NULL;NULL;"0.99";NULL;"0.92";"0.99";NULL;NULL;"0.93"
"San Marino";"12.7";NULL;NULL;NULL;NULL;NULL;NULL;"0.99";NULL;NULL;NULL;"0.99"
"Israel";"11.5";NULL;NULL;NULL;NULL;"0.91";NULL;"0.93";NULL;NULL;NULL;"0.93"
"Malta";"11.4";"0.77";NULL;NULL;NULL;"0.8";NULL;"0.86";"0.8";NULL;NULL;"0.63"
"New Zealand";"11.2";NULL;NULL;NULL;NULL;"0.9";NULL;"0.9";"0.9";NULL;NULL;"0.9"
"United States";"11.2";NULL;NULL;NULL;NULL;"0.9";NULL;"0.85";"0.9";NULL;NULL;"0.9"
"Cyprus";"11.1";NULL;NULL;NULL;NULL;"0.77";NULL;"0.94";"0.77";NULL;NULL;"0.93"
"Greece";"10.5";"0.86";NULL;NULL;NULL;"0.76";NULL;"0.96";NULL;NULL;NULL;"0.54"
"Belgium";"10";NULL;NULL;NULL;NULL;"0.85";NULL;"0.95";"0.85";NULL;NULL;"0.93"
"Italy";"9.7";NULL;NULL;NULL;NULL;"0.43";NULL;"0.98";"0.43";NULL;NULL;"0.83"
"Austria";"9.5";NULL;NULL;NULL;NULL;"0.6";NULL;"0.9";"0.6";NULL;NULL;"0.9"
"United Kingdom";"9.3";NULL;NULL;NULL;NULL;"0.87";NULL;"0.92";"0.87";NULL;NULL;"0.84"
"Australia";"9.2";NULL;NULL;NULL;NULL;"0.86";NULL;"0.72";"0.86";NULL;NULL;"0.95"
"Spain";"9.2";NULL;NULL;NULL;NULL;"0.99";NULL;"0.94";"0.99";NULL;NULL;"0.86"
"Ireland";"9.1";"0.84";NULL;NULL;NULL;"0.78";NULL;"0.81";"0.78";NULL;NULL;"0.65"
"France";"9";"0.74";NULL;NULL;NULL;"0.71";NULL;"0.95";"0.71";NULL;NULL;"0.94"
"Denmark";"8.9";NULL;NULL;NULL;NULL;"0.84";NULL;"0.99";"0.84";NULL;NULL;"0.9"
"Luxembourg";"8.8";NULL;NULL;NULL;NULL;"0.8";NULL;"0.9";NULL;NULL;NULL;"0.9"
"Norway";"8.7";NULL;NULL;NULL;NULL;"0.87";NULL;"0.84";"0.87";NULL;NULL;"0.86"
"Germany";"8.5";NULL;NULL;NULL;NULL;"0.75";NULL;"0.8";NULL;NULL;NULL;"0.8"
"Netherlands";"8.3";NULL;NULL;NULL;NULL;"0.94";NULL;"0.97";"0.94";NULL;NULL;"0.97"
"Canada";"8.2";NULL;NULL;NULL;NULL;"0.89";NULL;"0.88";"0.89";NULL;NULL;"0.88"
"Switzerland";"8.2";NULL;NULL;NULL;NULL;"0.9";NULL;"0.98";"0.9";NULL;NULL;"0.9"
"Monaco";"7.8";"0.99";NULL;NULL;NULL;"0.99";NULL;"0.99";"0.99";NULL;NULL;"0.99"
"Singapore";"7.7";"0.99";"0.74";NULL;NULL;"0.84";NULL;"0.85";"0.84";NULL;NULL;"0.85"
"Sweden";"7";"0.13";NULL;NULL;NULL;"0.96";NULL;"0.99";"0.96";NULL;NULL;"0.99"
"Finland";"6.7";"0.91";NULL;NULL;NULL;"0.97";NULL;"0.9";"0.97";NULL;NULL;"0.9"
"Iceland";"6.3";NULL;NULL;NULL;NULL;"0.99";NULL;"0.99";"0.99";NULL;NULL;"0.99"
"Japan";"6.3";"0.85";NULL;NULL;NULL;"0.73";NULL;"0.9";"0.73";NULL;NULL;"0.9"
