"nome";"mortalidade";"bcg";"hepb";"hib3";"ipv1";"mcv1";"pcv3";"pol3";"rcv1";"rotac";"yfv";"dtp3"
"Sierra Leone";"160.9";"0.97";"0.86";"0.86";NULL;"0.82";NULL;"0.84";NULL;NULL;"0.82";"0.86"
"Somalia";"156.1";"0.41";NULL;NULL;NULL;"0.46";NULL;"0.49";NULL;NULL;NULL;"0.45"
"Chad";"147.6";"0.58";"0.39";"0.39";NULL;"0.46";NULL;"0.43";NULL;NULL;"0.41";"0.39"
"Niger";"136.6";"0.81";"0.7";"0.7";NULL;"0.67";NULL;"0.75";NULL;NULL;"0.64";"0.7"
"Haiti";"136.5";"0.82";NULL;NULL;NULL;"0.64";NULL;"0.66";"0.64";NULL;NULL;"0.67"
"Nigeria";"135.3";"0.62";"0.49";NULL;NULL;"0.56";NULL;"0.54";NULL;NULL;"0.5";"0.54"
"Mali";"133.8";"0.82";"0.72";"0.73";NULL;"0.78";NULL;"0.77";NULL;NULL;"0.69";"0.73"
"Central African Republic";"128.8";"0.74";"0.45";"0.45";NULL;"0.53";NULL;"0.46";NULL;NULL;"0.55";"0.45"
"Guinea";"121.7";"0.93";"0.64";"0.64";NULL;"0.58";NULL;"0.62";NULL;NULL;"0.56";"0.64"
"Burkina Faso";"121.1";"0.99";"0.91";"0.91";NULL;"0.92";NULL;"0.9";NULL;NULL;"0.82";"0.91"
"Angola";"119.6";"0.79";"0.49";"0.49";NULL;"0.62";NULL;"0.56";NULL;NULL;"0.16";"0.51"
"Guinea-Bissau";"114.4";"0.93";"0.82";"0.86";NULL;"0.76";NULL;"0.82";NULL;NULL;"0.74";"0.83"
"Congo. Dem. Rep.";"113.7";"0.83";"0.6";"0.6";NULL;"0.66";NULL;"0.68";NULL;NULL;"0.6";"0.6"
"Equatorial Guinea";"111.1";"0.71";NULL;NULL;NULL;"0.44";NULL;"0.61";NULL;NULL;NULL;"0.54"
"Cameroon";"110.5";"0.83";"0.84";"0.84";NULL;"0.79";NULL;"0.83";NULL;NULL;"0.79";"0.84"
"Benin";"108.7";"0.9";"0.76";"0.76";NULL;"0.68";NULL;"0.77";NULL;NULL;"0.68";"0.76"
"Mozambique";"104.5";"0.9";"0.74";"0.74";NULL;"0.82";NULL;"0.73";NULL;NULL;NULL;"0.74"
"Cote d'Ivoire";"102.5";"0.79";"0.79";"0.79";NULL;"0.64";NULL;"0.75";NULL;NULL;"0.64";"0.78"
"Liberia";"99.6";"0.73";"0.7";"0.7";NULL;"0.65";NULL;"0.71";NULL;NULL;"0.64";"0.7"
"Lesotho";"91.4";"0.9";"0.93";"0.94";NULL;"0.88";NULL;"0.92";NULL;NULL;NULL;"0.93"
"Burundi";"90.7";"0.93";"0.96";"0.96";NULL;"0.92";NULL;"0.94";NULL;NULL;NULL;"0.96"
"Togo";"88.9";"0.97";"0.83";"0.83";NULL;"0.68";NULL;"0.83";NULL;NULL;"0.67";"0.83"
"Afghanistan";"88.4";"0.68";"0.66";"0.66";NULL;"0.62";NULL;"0.66";NULL;NULL;NULL;"0.66"
"Eswatini";"88.2";"0.98";"0.89";"0.89";NULL;"0.94";NULL;"0.89";NULL;NULL;NULL;"0.89"
"Pakistan";"87.3";"0.74";"0.52";"0.52";NULL;"0.57";NULL;"0.52";NULL;NULL;NULL;"0.52"
"Zimbabwe";"85.4";"0.99";"0.9";"0.9";NULL;"0.9";NULL;"0.89";NULL;NULL;NULL;"0.89"
