"nome";"mortalidade";"bcg";"hepb";"hib3";"ipv1";"mcv1";"pcv3";"pol3";"rcv1";"rotac";"yfv";"dtp3"
"Papua New Guinea";"44.2";"0.52";"0.39";"0.39";"0.39";"0.47";"0.39";"0.41";"0.47";NULL;NULL;"0.39"
"Tanzania";"44.2";"0.87";"0.86";"0.86";"0.86";"0.84";"0.8";"0.65";"0.84";"0.82";NULL;"0.86"
"Uganda";"43.6";"0.91";"0.89";"0.89";"0.89";"0.89";"0.89";"0.88";"0.89";"0.88";NULL;"0.89"
"Yemen. Rep.";"43.5";"0.71";"0.72";"0.72";"0.68";"0.68";"0.72";"0.66";"0.68";"0.73";NULL;"0.72"
"Lao PDR";"43.3";"0.9";"0.79";"0.79";"0.74";"0.79";"0.77";"0.78";"0.79";NULL;NULL;"0.79"
"Malawi";"43.2";"0.87";"0.9";"0.9";"0.91";"0.9";"0.93";"0.93";"0.9";"0.91";NULL;"0.94"
"Kenya";"43";"0.92";"0.91";"0.89";"0.89";"0.88";"0.9";"0.89";"0.88";"0.89";"0.07";"0.89"
"Myanmar";"42.9";"0.87";"0.84";"0.84";"0.86";"0.91";"0.86";"0.86";"0.91";"0.49";NULL;"0.84"
"Turkmenistan";"42.2";"0.98";"0.99";"0.99";"0.99";"0.98";"0.23";"0.98";"0.98";"0.95";NULL;"0.98"
"Mauritania";"41.8";"0.82";"0.72";"0.72";"0.67";"0.7";"0.7";"0.71";"0.7";"0.71";NULL;"0.72"
"Botswana";"41.3";"0.98";"0.95";"0.95";"0.95";"0.87";"0.9";"0.96";"0.87";"0.85";NULL;"0.95"
"Gabon";"41.1";"0.85";"0.63";"0.63";"0.63";"0.53";NULL;"0.62";NULL;NULL;"0.52";"0.63"
"Rwanda";"40.5";"0.89";"0.91";"0.91";"0.91";"0.94";"0.91";"0.91";"0.94";"0.91";NULL;"0.91"
"Namibia";"40";"0.99";"0.93";"0.93";"0.76";"0.9";"0.78";"0.92";"0.9";"0.9";NULL;"0.93"
"Senegal";"40";"0.95";"0.92";"0.92";"0.9";"0.88";"0.92";"0.84";"0.88";"0.92";"0.88";"0.91"
"Eritrea";"39.3";"0.97";"0.95";"0.95";"0.97";"0.93";"0.95";"0.95";"0.93";"0.96";NULL;"0.95"
"South Africa";"35.3";"0.86";"0.84";"0.84";"0.88";"0.84";"0.83";"0.84";NULL;"0.83";NULL;"0.84"
"Dominican Republic";"33.9";"0.85";"0.81";"0.8";"0.85";"0.82";"0.69";"0.8";"0.82";"0.77";NULL;"0.82"
"India";"32.4";"0.85";"0.85";"0.85";"0.81";"0.89";"0.21";"0.85";"0.89";"0.82";NULL;"0.85"
"Tajikistan";"32.4";"0.98";"0.97";"0.97";"0.97";"0.98";NULL;"0.97";"0.98";"0.95";NULL;"0.97"
"Dominica";"31.1";"0.98";"0.97";"0.97";"0.99";"0.92";NULL;"0.96";"0.92";NULL;NULL;"0.96"
"Bangladesh";"31";"0.99";"0.98";"0.98";"0.96";"0.97";"0.99";"0.98";"0.97";NULL;NULL;"0.98"
"Marshall Islands";"30.7";"0.91";"0.86";"0.75";"0.97";"0.89";"0.38";"0.82";"0.89";"0.57";NULL;"0.82"
"Nepal";"29.8";"0.92";"0.84";"0.84";"0.73";"0.87";"0.8";"0.84";"0.87";NULL;NULL;"0.84"
"Guyana";"28.3";"0.94";"0.99";"0.99";"0.99";"0.98";"0.89";"0.91";"0.98";"0.97";"0.95";"0.99"
"Nauru";"28.3";"0.99";"0.95";"0.95";"0.95";"0.98";NULL;"0.95";"0.98";NULL;NULL;"0.95"
"Philippines";"28";"0.64";"0.71";"0.71";"0.69";"0.72";"0.66";"0.72";"0.72";NULL;NULL;"0.71"
"Fiji";"26.8";"0.99";"0.99";"0.99";"0.99";"0.96";"0.99";"0.99";"0.96";"0.99";NULL;"0.99"
"Bolivia";"25.8";"0.82";"0.68";"0.68";"0.79";"0.74";"0.68";"0.68";"0.74";"0.74";"0.72";"0.68"
"Micronesia. Fed. Sts.";"25.8";"0.84";"0.88";"0.68";"0.98";"0.79";"0.79";"0.82";"0.79";"0.4";NULL;"0.83"
"Cambodia";"25.5";"0.97";"0.92";"0.92";"0.92";"0.84";"0.9";"0.94";"0.84";NULL;NULL;"0.92"
"Bhutan";"25.4";"0.98";"0.96";"0.96";"0.93";"0.93";"0.9";"0.96";"0.93";NULL;NULL;"0.95"
"Iraq";"25.1";"0.99";"0.74";"0.74";"0.77";"0.76";"0";"0.78";"0.93";"0.42";NULL;"0.74"
"Venezuela. RB";"24.2";"0.82";"0.54";"0.54";"0.68";"0.76";"0";"0.62";"0.76";"0";"0.82";"0.54"
"Guatemala";"23.7";"0.86";"0.83";"0.83";"0.93";"0.88";"0.86";"0.72";"0.88";"0.85";NULL;"0.83"
"Palau";"23";NULL;"0.93";"0.89";"0.99";"0.93";"0.75";"0.96";"0.93";"0.82";NULL;"0.96"
"Algeria";"22.9";"0.99";"0.91";"0.91";"0.94";"0.8";"0.91";"0.91";"0.8";NULL;NULL;"0.91"
"Indonesia";"22.8";"0.87";"0.77";"0.77";"0.37";"0.76";"0.04";"0.76";"0.76";NULL;NULL;"0.77"
"Syrian Arab Republic";"22.7";"0.74";"0.49";"0.49";"0.65";"0.59";NULL;"0.53";"0.59";NULL;NULL;"0.49"
"Tuvalu";"21.7";"0.99";"0.93";"0.93";"0.99";"0.93";NULL;"0.9";"0.93";NULL;NULL;"0.95"
"Viet Nam";"20.9";"0.95";"0.94";"0.94";"0.88";"0.97";NULL;"0.8";"0.97";NULL;NULL;"0.94"
"Azerbaijan";"19.7";"0.94";"0.79";"0.79";"0.8";"0.82";"0.79";"0.85";"0.82";NULL;NULL;"0.79"
"Solomon Islands";"19.5";"0.82";"0.94";"0.94";"0.89";"0.81";"0.93";"0.92";"0.81";"0.41";NULL;"0.94"
"Egypt. Arab Rep.";"19.4";"0.96";"0.94";"0.94";"0.95";"0.94";NULL;"0.95";"0.94";NULL;NULL;"0.94"
"Vanuatu";"19.2";"0.77";"0.78";"0.78";"0.78";"0.78";NULL;"0.76";"0.78";NULL;NULL;"0.78"
"Jamaica";"18.9";"0.99";"0.95";"0.96";"0.95";"0.93";NULL;"0.95";"0.93";NULL;NULL;"0.96"
"Paraguay";"18.7";"0.84";"0.79";"0.79";"0.84";"0.8";"0.82";"0.78";"0.8";"0.8";"0.87";"0.79"
"Morocco";"18.6";"0.99";"0.99";"0.99";"0.99";"0.99";"0.98";"0.99";"0.99";"0.98";NULL;"0.99"
"Kyrgyz Republic";"17.8";"0.96";"0.86";"0.86";"0.86";"0.92";"0.9";"0.87";"0.92";"0.52";NULL;"0.87"
"Suriname";"17.7";NULL;"0.51";"0.51";"0.61";"0.45";NULL;"0.51";"0.45";NULL;"0.44";"0.51"
"St. Lucia";"17.5";"0.89";"0.86";"0.86";"0.9";"0.89";NULL;"0.88";"0.89";NULL;NULL;"0.86"
"Honduras";"17.1";"0.83";"0.8";"0.8";"0.85";"0.82";"0.8";"0.8";"0.82";"0.83";NULL;"0.8"
"Samoa";"17.1";"0.99";"0.89";"0.89";"0.96";"0.66";NULL;"0.89";"0.66";NULL;NULL;"0.89"
"Korea. Dem. People's Rep.";"16.5";"0.99";"0.97";"0.97";"0.98";"0.99";NULL;"0.7";NULL;NULL;NULL;"0.97"
"Trinidad and Tobago";"16.5";NULL;"0.96";"0.96";"0.92";"0.91";"0.95";"0.93";"0.91";NULL;"0.89";"0.96"
"St. Kitts and Nevis";"16.4";"0.98";"0.99";"0.99";"0.99";"0.95";NULL;"0.99";"0.95";NULL;NULL;"0.99"
"Nicaragua";"16.3";"0.93";"0.92";"0.92";"0.94";"0.97";"0.92";"0.93";"0.97";"0.92";NULL;"0.92"
"Grenada";"15.9";NULL;"0.72";"0.72";"0.79";"0.83";NULL;"0.72";"0.83";NULL;NULL;"0.72"
"Sao Tome and Principe";"15.9";"0.94";"0.96";"0.96";"0.94";"0.86";"0.96";"0.94";"0.86";"0.87";NULL;"0.96"
"Mauritius";"15.8";"0.96";"0.93";"0.93";"0.94";"0.89";"0.86";"0.94";"0.89";"0.92";NULL;"0.93"
"Peru";"15.7";"0.87";"0.72";"0.72";"0.92";"0.77";"0.74";"0.72";"0.77";"0.76";"0.5";"0.72"
"Lebanon";"15.5";NULL;"0.71";"0.71";"0.82";"0.74";"0.74";"0.67";"0.74";NULL;NULL;"0.71"
"West Bank and Gaza";"15.3";"0.99";"0.98";"0.98";"0.99";"0.99";"0.98";"0.98";"0.99";"0.99";NULL;"0.98"
"Jordan";"15.1";"0.76";"0.77";"0.77";"0.78";"0.76";NULL;"0.76";"0.76";"0.75";NULL;"0.77"
"Panama";"15";"0.99";"0.74";"0.74";"0.93";"0.8";"0.74";"0.74";"0.8";"0.86";"0.05";"0.74"
"Seychelles";"14.8";"0.99";"0.97";"0.97";"0.98";"0.97";"0.94";"0.97";"0.97";"0.98";NULL;"0.97"
"Mongolia";"14.7";"0.99";"0.96";"0.96";"0.91";"0.97";"0.92";"0.97";"0.97";NULL;NULL;"0.96"
"Uzbekistan";"14.7";"0.99";"0.95";"0.95";"0.89";"0.99";"0.93";"0.97";"0.99";"0.9";NULL;"0.95"
"Brazil";"14.5";"0.67";"0.77";"0.77";"0.81";"0.79";"0.79";"0.74";"0.79";"0.76";"0.57";"0.77"
"Moldova";"14.5";"0.95";"0.87";"0.86";"0.91";"0.84";"0.72";"0.87";"0.84";"0.56";NULL;"0.86"
"Mexico";"13.7";"0.28";"0.77";"0.72";"0.77";"0.92";"0.77";"0.72";"0.92";"0.69";NULL;"0.72"
"Cabo Verde";"13.4";"0.98";"0.94";"0.94";"0.94";"0.95";NULL;"0.94";"0.95";NULL;NULL;"0.93"
"Bahamas. The";"13.3";NULL;"0.83";"0.83";"0.97";"0.87";"0.83";"0.83";"0.87";"0.95";NULL;"0.83"
"Colombia";"13.3";"0.89";"0.88";"0.88";"0.92";"0.9";"0.89";"0.88";"0.9";"0.87";"0.84";"0.88"
"Tunisia";"13.3";"0.92";"0.97";"0.97";"0.94";"0.98";"0.87";"0.97";"0.98";NULL;NULL;"0.97"
"Ecuador";"13";"0.81";"0.7";"0.7";"0.79";"0.81";"0.76";"0.72";"0.81";"0.75";"0.79";"0.7"
"Iran. Islamic Rep.";"12.9";"0.98";"0.99";"0.99";"0.99";"0.99";NULL;"0.99";"0.99";NULL;NULL;"0.99"
"El Salvador";"12.7";"0.79";"0.72";"0.72";"0.76";"0.71";"0.78";"0.69";"0.71";"0.75";NULL;"0.72"
"Belize";"12.2";"0.76";"0.79";"0.79";"0.79";"0.82";NULL;"0.79";"0.82";NULL;NULL;"0.79"
"St. Vincent and the Grenadines";"12.1";"0.99";"0.97";"0.97";"0.99";"0.99";NULL;"0.99";"0.99";NULL;NULL;"0.97"
"Barbados";"11.6";NULL;"0.85";"0.85";"0.86";"0.89";"0.86";"0.85";"0.89";NULL;NULL;"0.85"
"Tonga";"11.5";"0.99";"0.99";"0.99";"0.99";"0.99";NULL;"0.99";"0.99";NULL;NULL;"0.99"
"Armenia";"11.3";"0.99";"0.92";"0.92";"0.79";"0.94";"0.92";"0.86";"0.94";"0.92";NULL;"0.91"
"Libya";"11.1";"0.74";"0.73";"0.73";"0.74";"0.73";"0.73";"0.73";"0.73";"0.73";NULL;"0.73"
"Oman";"10.7";"0.99";"0.99";"0.99";"0.99";"0.99";"0.99";"0.99";"0.99";NULL;NULL;"0.99"
"Turkiye";"10.5";"0.96";"0.98";"0.98";"0.96";"0.95";"0.95";"0.98";"0.95";NULL;NULL;"0.98"
"Kazakhstan";"10.1";"0.93";"0.88";"0.88";"0.94";"0.93";"0.89";"0.88";"0.93";NULL;NULL;"0.88"
"Antigua and Barbuda";"10";NULL;"0.95";"0.99";"0.95";"0.89";NULL;"0.95";"0.89";NULL;NULL;"0.96"
"Argentina";"10";"0.75";"0.74";"0.74";"0.8";"0.77";"0.75";"0.74";"0.77";"0.72";"0.08";"0.74"
"Brunei Darussalam";"9.8";"0.99";"0.99";"0.99";"0.99";"0.99";NULL;"0.99";"0.99";NULL;NULL;"0.99"
"Georgia";"9.6";"0.96";"0.88";"0.88";"0.95";"0.91";"0.82";"0.88";"0.91";"0.75";NULL;"0.88"
"Albania";"9.4";"0.98";"0.98";"0.98";"0.99";"0.91";"0.92";"0.98";"0.91";"0.98";NULL;"0.98"
"Kuwait";"8.8";"0.98";"0.93";"0.93";"0.99";"0.95";"0.94";"0.95";"0.95";"0.73";NULL;"0.93"
"Thailand";"8.7";"0.99";"0.97";"0.45";"0.97";"0.96";NULL;"0.97";"0.96";NULL;NULL;"0.97"
"Ukraine";"8.4";"0.93";"0.81";"0.85";"0.87";"0.85";NULL;"0.84";"0.85";NULL;NULL;"0.81"
"Costa Rica";"8.1";"0.99";"0.95";"0.97";"0.99";"0.95";"0.94";"0.97";"0.95";"0.97";NULL;"0.97"
"Malaysia";"8";"0.99";"0.99";"0.98";"0.93";"0.95";NULL;"0.98";"0.95";NULL;NULL;"0.98"
"China";"7.5";"0.99";"0.99";NULL;"0.99";"0.99";NULL;"0.99";"0.99";NULL;NULL;"0.99"
"Cuba";"7.2";"0.99";"0.99";"0.99";"0.99";"0.98";NULL;"0.98";"0.98";NULL;NULL;"0.99"
"Saudi Arabia";"7";"0.95";"0.95";"0.95";"0.95";"0.96";"0.95";"0.95";"0.96";"0.96";NULL;"0.95"
"Sri Lanka";"7";"0.99";"0.96";"0.96";"0.96";"0.96";NULL;"0.96";"0.96";NULL;NULL;"0.96"
"Uruguay";"7";"0.99";"0.92";"0.92";"0.97";"0.95";"0.94";"0.91";"0.95";NULL;NULL;"0.92"
"Bahrain";"6.9";NULL;"0.98";"0.98";"0.99";"0.99";"0.99";"0.98";"0.99";"0.98";NULL;"0.98"
"Chile";"6.9";"0.98";"0.93";"0.93";"0.98";"0.91";"0.89";"0.93";"0.91";NULL;NULL;"0.93"
"Bulgaria";"6.5";"0.97";"0.91";"0.91";"0.94";"0.88";"0.85";"0.91";"0.88";"0.45";NULL;"0.91"
"Romania";"6.5";"0.97";"0.87";"0.87";"0.95";"0.87";"0.85";"0.87";"0.87";NULL;NULL;"0.87"
"Maldives";"6.4";"0.99";"0.99";"0.99";"0.99";"0.99";NULL;"0.99";"0.99";NULL;NULL;"0.99"
"United States";"6.4";NULL;"0.91";"0.9";"0.96";"0.91";"0.82";"0.92";"0.91";"0.75";NULL;"0.93"
"Bosnia and Herzegovina";"6.2";"0.95";"0.8";"0.62";"0.89";"0.68";NULL;"0.73";"0.68";NULL;NULL;"0.73"
"Malta";"6";NULL;"0.98";"0.98";"0.99";"0.95";NULL;"0.98";"0.95";NULL;NULL;"0.98"
"North Macedonia";"6";"0.93";"0.84";"0.84";"0.93";"0.63";"0.3";"0.84";"0.63";"0.61";NULL;"0.84"
"Qatar";"5.9";"0.98";"0.89";"0.89";"0.82";"0.9";"0.98";"0.89";"0.9";"0.86";NULL;"0.89"
"Slovak Republic";"5.9";NULL;"0.97";"0.97";"0.97";"0.96";"0.96";"0.97";"0.96";NULL;NULL;"0.97"
"United Arab Emirates";"5.9";"0.86";"0.91";"0.9";"0.9";"0.99";"0.84";"0.8";"0.99";"0.86";NULL;"0.9"
"Serbia";"5.5";"0.98";"0.87";"0.92";"0.97";"0.78";"0.87";"0.92";"0.78";NULL;NULL;"0.92"
"Russian Federation";"5.4";"0.95";"0.97";NULL;"0.97";"0.97";"0.87";"0.97";"0.97";NULL;NULL;"0.97"
"Canada";"5.1";NULL;"0.84";"0.92";"0.94";"0.9";"0.84";"0.92";"0.9";"0.84";NULL;"0.92"
"New Zealand";"4.8";NULL;"0.92";"0.92";"0.95";"0.91";"0.92";"0.92";"0.91";"0.88";NULL;"0.92"
"Croatia";"4.7";"0.98";"0.91";"0.93";"0.98";"0.91";NULL;"0.94";"0.91";NULL;NULL;"0.94"
"Poland";"4.4";"0.91";"0.9";"0.9";"0.99";"0.8";"0.62";"0.91";"0.8";NULL;NULL;"0.9"
"United Kingdom";"4.3";NULL;"0.93";"0.93";"0.97";"0.91";"0.91";"0.93";"0.91";"0.91";NULL;"0.93"
"France";"4.2";NULL;"0.91";"0.95";"0.99";"0.92";"0.92";"0.96";"0.92";NULL;NULL;"0.96"
"Greece";"4.1";NULL;"0.96";"0.99";"0.99";"0.97";"0.96";"0.99";"0.97";"0.2";NULL;"0.99"
"Hungary";"4";"0.99";NULL;"0.99";"0.99";"0.99";"0.99";"0.99";"0.99";NULL;NULL;"0.99"
"Netherlands";"4";NULL;"0.93";"0.94";"0.98";"0.94";"0.93";"0.94";"0.94";NULL;NULL;"0.94"
"Switzerland";"4";NULL;"0.72";"0.96";"0.98";"0.97";"0.86";"0.96";"0.97";NULL;NULL;"0.96"
"Belgium";"3.9";NULL;"0.97";"0.97";"0.99";"0.96";"0.94";"0.98";"0.96";"0.84";NULL;"0.97"
"Australia";"3.8";NULL;"0.95";"0.95";"0.98";"0.93";"0.97";"0.95";"0.93";"0.93";NULL;"0.95"
"Denmark";"3.7";NULL;NULL;"0.97";"0.97";"0.94";"0.96";"0.97";"0.94";NULL;NULL;"0.97"
"Germany";"3.7";NULL;"0.88";"0.9";"0.98";"0.97";"0.82";"0.91";"0.97";"0.65";NULL;"0.91"
"Latvia";"3.7";"0.99";"0.99";"0.99";"0.99";"0.99";"0.91";"0.99";"0.99";"0.86";NULL;"0.99"
"Lithuania";"3.6";"0.96";"0.91";"0.91";"0.95";"0.9";"0.83";"0.91";"0.9";"0.48";NULL;"0.91"
"Israel";"3.5";NULL;"0.96";"0.98";"0.99";"0.99";"0.94";"0.98";"0.99";"0.79";NULL;"0.98"
"Austria";"3.4";NULL;"0.85";"0.85";"0.92";"0.95";NULL;"0.85";"0.95";"0.61";NULL;"0.85"
"Portugal";"3.4";NULL;"0.99";"0.99";"0.99";"0.99";"0.98";"0.99";"0.99";NULL;NULL;"0.99"
"Cyprus";"3.3";NULL;"0.94";"0.92";"0.99";"0.86";"0.81";"0.96";"0.86";NULL;NULL;"0.96"
"Ireland";"3.3";"0";"0.94";"0.94";"0.98";"0.92";"0.86";"0.94";"0.92";"0.89";NULL;"0.94"
"Spain";"3.1";NULL;"0.94";"0.98";"0.98";"0.96";"0.94";"0.94";"0.96";NULL;NULL;"0.94"
"Korea. Rep.";"3";"0.98";"0.98";"0.98";"0.98";"0.98";"0.98";"0.98";"0.98";NULL;NULL;"0.98"
"Monaco";"3";NULL;"0.99";"0.99";"0.99";"0.88";NULL;"0.99";"0.88";NULL;NULL;"0.99"
"Montenegro";"3";"0.67";"0.52";"0.84";"0.94";"0.24";NULL;"0.84";"0.24";NULL;NULL;"0.84"
"Andorra";"2.9";NULL;"0.98";"0.98";"0.99";"0.98";"0.96";"0.99";"0.98";NULL;NULL;"0.99"
"Belarus";"2.9";"0.97";"0.97";"0.97";"0.96";"0.97";NULL;"0.97";"0.97";NULL;NULL;"0.97"
"Czechia";"2.9";NULL;"0.96";"0.96";"0.99";"0.94";NULL;"0.96";"0.94";NULL;NULL;"0.97"
"Italy";"2.9";NULL;"0.94";"0.94";"0.94";"0.92";"0.91";"0.94";"0.92";"0.63";NULL;"0.94"
"Iceland";"2.7";NULL;NULL;"0.93";"0.96";"0.93";"0.93";"0.93";"0.93";NULL;NULL;"0.93"
"Luxembourg";"2.7";NULL;"0.96";"0.99";"0.99";"0.99";"0.96";"0.99";"0.99";"0.89";NULL;"0.99"
"Sweden";"2.6";"0.26";"0.97";"0.97";"0.98";"0.97";"0.97";"0.97";"0.97";"0.83";NULL;"0.97"
"Japan";"2.4";"0.95";"0.92";"0.95";"0.95";"0.98";"0.95";"0.96";"0.98";NULL;NULL;"0.96"
"Slovenia";"2.4";NULL;NULL;"0.95";"0.98";"0.94";"0.7";"0.95";"0.94";NULL;NULL;"0.95"
"Finland";"2.3";NULL;NULL;"0.9";"0.98";"0.95";"0.86";"0.9";"0.95";"0.82";NULL;"0.9"
"Norway";"2.3";NULL;"0.97";"0.97";"0.98";"0.97";"0.96";"0.97";"0.97";"0.95";NULL;"0.97"
"Singapore";"2.3";"0.98";"0.96";"0.96";"0.98";"0.95";"0.82";"0.96";"0.95";NULL;NULL;"0.96"
"Estonia";"2.1";"0.91";"0.9";"0.91";"0.92";"0.91";NULL;"0.91";"0.91";"0.82";NULL;"0.91"
"San Marino";"1.6";NULL;"0.89";"0.88";"0.91";"0.9";"0.82";"0.89";"0.9";NULL;NULL;"0.89"
