"nome";"mortalidade";"bcg";"hepb";"hib3";"ipv1";"mcv1";"pcv3";"pol3";"rcv1";"rotac";"yfv";"dtp3"
"Niger";"121";"0.94";"0.81";"0.81";"0.81";"0.79";"0.81";"0.81";NULL;"0.83";"0.67";"0.81"
"Nigeria";"113.9";"0.75";"0.56";"0.56";"0.56";"0.59";"0.52";"0.53";NULL;NULL;"0.63";"0.56"
"Somalia";"112.9";"0.37";"0.42";"0.42";"0.42";"0.46";NULL;"0.47";NULL;NULL;NULL;"0.42"
"Chad";"109.8";"0.6";"0.52";"0.52";"0.51";"0.47";NULL;"0.52";NULL;NULL;"0.35";"0.52"
"Sierra Leone";"108.2";"0.72";"0.91";"0.91";"0.89";"0.87";"0.91";"0.9";"0.87";"0.9";"0.86";"0.91"
"Central African Republic";"102.4";"0.61";"0.42";"0.42";"0.44";"0.41";"0.4";"0.46";NULL;NULL;"0.41";"0.42"
"Guinea";"101.2";"0.72";"0.47";"0.47";"0.47";"0.47";NULL;"0.48";NULL;NULL;"0.4";"0.47"
"Mali";"99.7";"0.78";"0.7";"0.7";"0.7";"0.62";"0.66";"0.65";NULL;"0.68";"0.58";"0.7"
"South Sudan";"98.8";"0.52";"0.49";"0.49";"0.39";"0.49";NULL;"0.5";NULL;NULL;NULL;"0.49"
"Benin";"85.8";"0.88";"0.72";"0.72";"0.71";"0.65";"0.68";"0.73";"0.65";"0.62";"0.67";"0.72"
"Burkina Faso";"84.3";"0.98";"0.91";"0.91";"0.91";"0.88";"0.91";"0.91";"0.88";"0.91";"0.85";"0.91"
"Congo. Dem. Rep.";"80.8";"0.83";"0.7";"0.7";"0.74";"0.62";"0.69";"0.72";NULL;"0.27";"0.63";"0.7"
"Equatorial Guinea";"78.6";"0.85";"0.53";"0.53";"0.53";"0.53";NULL;"0.55";NULL;NULL;"0.53";"0.53"
"Liberia";"77.7";"0.85";"0.65";"0.65";"0.67";"0.61";"0.65";"0.67";NULL;"0.65";"0.49";"0.65"
"Guinea-Bissau";"77";"0.67";"0.74";"0.74";"0.87";"0.72";"0.74";"0.63";NULL;"0.79";"0.71";"0.74"
"Lesotho";"76.6";"0.96";"0.87";"0.87";"0.87";"0.9";"0.87";"0.87";"0.9";"0.87";NULL;"0.87"
"Cameroon";"74.9";"0.8";"0.69";"0.69";"0.7";"0.62";"0.69";"0.7";"0.62";"0.67";"0.57";"0.69"
"Cote d'Ivoire";"73.8";"0.91";"0.75";"0.75";"0.74";"0.66";"0.64";"0.67";"0.66";"0.65";"0.64";"0.75"
"Angola";"71.5";"0.58";"0.47";"0.47";"0.43";"0.44";"0.53";"0.51";"0.44";"0.39";"0.3";"0.51"
"Mozambique";"70.1";"0.91";"0.79";"0.79";"0.78";"0.81";"0.65";"0.73";"0.81";"0.79";NULL;"0.79"
"Madagascar";"66.3";"0.75";"0.66";"0.66";"0.65";"0.5";"0.64";"0.64";NULL;"0.6";NULL;"0.66"
"Pakistan";"65.1";"0.91";"0.77";"0.77";"0.83";"0.83";"0.82";"0.83";NULL;"0.84";NULL;"0.77"
"Togo";"64.4";"0.96";"0.82";"0.82";"0.82";"0.69";"0.82";"0.8";"0.69";"0.78";"0.66";"0.82"
"Afghanistan";"61.6";"0.87";"0.7";"0.7";"0.65";"0.66";"0.68";"0.75";NULL;"0.62";NULL;"0.7"
"Haiti";"60.2";"0.73";"0.51";"0.51";"0.75";"0.65";"0.51";"0.51";"0.65";"0.48";NULL;"0.51"
"Zambia";"59.3";"0.85";"0.84";"0.84";"0.84";"0.96";"0.85";"0.83";"0.96";"0.87";NULL;"0.84"
"Kiribati";"58.8";"0.93";"0.92";"0.92";"0.83";"0.82";"0.91";"0.91";"0.82";"0.89";NULL;"0.92"
"Djibouti";"55.4";"0.77";"0.7";"0.7";"0.7";"0.62";"0.7";"0.7";NULL;"0.72";NULL;"0.7"
"Sudan";"55.3";"0.92";"0.9";"0.9";"0.9";"0.86";"0.9";"0.9";NULL;"0.92";NULL;"0.9"
"Eswatini";"55";"0.97";"0.83";"0.83";"0.81";"0.76";"0.83";"0.82";"0.76";"0.63";NULL;"0.83"
"Burundi";"54.2";"0.83";"0.93";"0.93";"0.98";"0.9";"0.93";"0.93";"0.9";"0.96";NULL;"0.93"
"Timor-Leste";"52.1";"0.88";"0.86";"0.86";"0.84";"0.79";NULL;"0.86";"0.79";NULL;NULL;"0.86"
"Comoros";"51.5";"0.91";"0.87";"0.87";"0.87";"0.89";NULL;"0.81";NULL;NULL;NULL;"0.87"
"Zimbabwe";"51.4";"0.88";"0.86";"0.86";"0.86";"0.85";"0.86";"0.86";"0.85";"0.88";NULL;"0.86"
"Ethiopia";"49.9";"0.7";"0.71";"0.71";"0.71";"0.6";"0.67";"0.74";NULL;"0.7";NULL;"0.71"
"Gambia. The";"48.9";"0.85";"0.86";"0.85";"0.88";"0.82";"0.83";"0.89";"0.82";"0.85";"0.83";"0.85"
"Ghana";"45.3";"0.93";"0.94";"0.94";"0.93";"0.88";"0.95";"0.92";"0.88";"0.89";"0.88";"0.94"
"Congo. Rep.";"44.7";"0.72";"0.73";"0.73";"0.71";"0.68";"0.71";"0.73";"0.68";"0.6";"0.69";"0.73"
